,Mass g,Density g/cm3,Pressure dyn/cm2,Temperature K,Radius cm,Luminosity erg/s,Energy Generation Rate erg/s/g,Opacity,Del_ad,Del,Radiative or Convective
81,2.784599994954919e+33,2.6593242789395975e-07,754576.0978314974,21062.559836234006,100747880592.79079,1.3091360509001043e+34,3.0706931604643674e-53,575.2399236070615,0.4,40.90834745858481,Convects
82,2.7845999966076916e+33,2.1215841031492411e-07,517712.6639108481,18116.14410120405,100802135915.35939,1.3091360509001043e+34,4.959436493666862e-56,695.3653402679621,0.4,61.99308399087667,Convects
83,2.784599997898482e+33,1.6286366847221728e-07,333121.5718948184,15186.887237058949,100856126339.04918,1.3091360509001043e+34,1.7718874000919356e-59,724.5602927902056,0.4,84.16018732414597,Convects
84,2.784599998715178e+33,1.2579654585902028e-07,216557.53280859994,12783.055309406793,100900470920.7336,1.3091360509001043e+34,4.8219994244375646e-63,438.81819245610114,0.4,66.0121269664389,Convects
85,2.7845999992675795e+33,9.593903398265695e-08,137845.665216087,10669.889753769548,100939482432.23833,1.3091360509001043e+34,5.2730142636895536e-67,115.38385184477336,0.4,22.761605768919424,Convects
86,2.784599999545207e+33,7.834457426311369e-08,98337.2191199387,9321.5911389193,100964387918.27116,1.3091360509001043e+34,4.013551642779001e-70,27.86531509104567,0.4,6.731721798908319,Convects
87,2.7845999998137386e+33,5.834278099406514e-08,60164.79143438042,7658.748406842638,100995123091.21312,1.3091360509001043e+34,6.514644622727851e-75,2.6838996184197654,0.4,0.8705264098099309,Convects
88,2.784599999874844e+33,5.313802421142446e-08,51485.496289809955,7195.941242425905,101003677568.94966,1.3091360509001043e+34,1.6936922472730572e-76,1.269125698657768,0.4,0.45200536197639385,Convects
89,2.7845999999359494e+33,4.6859321271078094e-08,42809.29429165892,6785.049163404723,101013189724.28166,1.3091360509001043e+34,4.861222678160057e-78,0.620992282905143,0.4,0.23265733841384076,Radiates
90,2.7845999999935955e+33,3.934643839700892e-08,34627.48964987032,6536.16491120693,101023621735.56639,1.3091360509001043e+34,4.451237537621411e-79,0.37790968919225093,0.4,0.13299077271594487,Radiates
91,2.78459999999936e+33,3.853588578231319e-08,33809.50169847545,6515.9864641826425,101024776005.24052,1.3091360509001043e+34,3.623909325045144e-79,0.3615613308785617,0.4,0.12577795561108215,Radiates
92,2.7845999999999366e+33,3.845432942877647e-08,33727.70496801776,6514.007088417718,101024892766.32657,1.3091360509001043e+34,3.5511167893414016e-79,0.3599803037050828,0.4,0.12507689775007366,Radiates
93,2.784599999999994e+33,3.844616885839098e-08,33719.52531577911,6513.809528854213,101024904456.04031,1.3091360509001043e+34,3.543927890438524e-79,0.35982272122166525,0.4,0.12500698891872408,Radiates
94,2.7846e+33,3.844535275207678e-08,33718.70735076348,6513.789776671467,101024905625.14801,1.3091360509001043e+34,3.5432098957294925e-79,0.3598069681583611,0.4,0.12499999999999996,Radiates
